udc_id,loc_info,value,name
50Y2CKL12AOFY8UC,SN01BKKN1,10Y1001A1001A48H,NO5
50Y5JPLVY8KMU0Y9,SK71,10Y1001A1001A48H,NO5
50YERAQDH1TRM1ZL,HAUGAL6,10Y1001A1001A48H,NO5
50YUCXAQADFOGTFJ,SN01VOSS1,10Y1001A1001A48H,NO5
50YX6F00RRCDOAKV,SK17,10Y1001A1001A48H,NO5
50YRBR0W97K0FFB6,HYDROAL2,10Y1001A1001A48H,NO5
50YFSA30AIVB09NT,HYDROEN7,10Y1001A1001A48H,NO5
50Y4P7G0GQK0M3SB,BKKP9 D,10Y1001A1001A48H,NO5
50YUETHL4LVP30DB,HALL1,10Y1001A1001A48H,NO5
50YYV2ABUV0E5O0A,SK61,10Y1001A1001A48H,NO5
50Y-AABJ1ZGH7DNR,AURL1,10Y1001A1001A48H,NO5
50Y18C0G-CR1SPKW,SOGNE1,10Y1001A1001A48H,NO5
50YKS0WCQ4EVQH6Z,NORE1,10Y1001A1001A48H,NO5
50Y013HNTAMLZ024,HEMSED1,10Y1001A1001A48H,NO5
50YD80JRSQVHBI6V,UVDAL1,10Y1001A1001A48H,NO5
50YHNBGFTXZSBHB6,ØFOLD3,10Y1001A1001A48H,NO5
50YC-7C9CR189BV3,ELKEM BJ1,10Y1001A1001A48H,NO5
50Y3IFD7GEYETYVC,SK46,10Y1001A1001A48H,NO5
50YFJ3JTN10BUD67,BKKP10 Ulvik,10Y1001A1001A48H,NO5
50YK1DZ108BH-069,MODALEN,10Y1001A1001A48H,NO5
50YG7S--Z0QKQEJU,ÅRDAL3,10Y1001A1001A48H,NO5
50Y806KF24Q59G7M,SK40,10Y1001A1001A48H,NO5
50Y5AYDXGP9PZT7T,GLITRE R3,10Y1001A1001A48H,NO5
50Y570F2MKB1CA2R,BKKP2 DALE,10Y1001A1001A48H,NO5
50YEDLOQJ2G9YIKA,HYDROAL3,10Y1001A1001A48H,NO5
50YDNIYVCP70-7F5,SK36,10Y1001A1001A48H,NO5
50YTALLZ12XGNG9R,HEV3 AURL,10Y1001A1001A48H,NO5
50YGEAL-AABJ1ZG7,SN11,10Y1001A1001A48H,NO5
50YFTXZSBHB4RT8M,ÅRDAL1,10Y1001A1001A48H,NO5
50Y06KAT4QWAA7SV,ØFOLD1,10Y1001A1001A48H,NO5
50YXJGCOFEJSDD9P,LÆRDAL1,10Y1001A1001A48H,NO5
50YB3EUUFGRDNCQB,SKAGK1,10Y1001A1001A48H,NO5
50YFDY3326KQWDPO,ØFOLD4,10Y1001A1001A48H,NO5
50YCBIGCBQDXVFCJ,SK44,10Y1001A1001A48H,NO5
50YK95649Y18F01O,BKKN1,10Y1001A1001A48H,NO5
50Y7IG8DNEE3UFSC,KVAM2,10Y1001A1001A48H,NO5
50Y13TNTALLZ12XG,GLITRE R4,10Y1001A1001A48H,NO5
50Y-Z0QKQEJIWZ1Z,ØFOLD2,10Y1001A1001A48H,NO5
50YEKD6TVBTX6FRS,BKKP7 SAMN,10Y1001A1001A48H,NO5
50Y7Q1NT7E5QLMKX,SFE3,10Y1001A1001A48H,NO5
50YW7HZD80JRSQVJ,SK37,10Y1001A1001A48H,NO5
50YUTD9LCBGPAA5U,SK39,10Y1001A1001A48H,NO5
50YBHOBGFUXZSBHS,BKKP3 STEINSL,10Y1001A1001A48H,NO5
50Y-FY1BDW5WK5IW,BKKP8 R,10Y1001A1001A48H,NO5
50YWZ1VEKD6TVBTU,BKKN2,10Y1001A1001A48H,NO5
50Y09NI57T7CCAVM,HARD1,10Y1001A1001A48H,NO5
50YQ4B2NIJIMG9GG,SN14,10Y1001A1001A48H,NO5
50YK0YFRAFCFIVB7,BKKP4 EVANG,10Y1001A1001A48H,NO5
50YHY2WEAAGD7DCH,SK35,10Y1001A1001A48H,NO5
50YH88--EMXCTBWN,BKKP6 MYSTER,10Y1001A1001A48H,NO5
50Y-0Z1EKQEJIW-P,SK45,10Y1001A1001A48H,NO5
50YFCPBKPMW89LMV,KVAM1,10Y1001A1001A48H,NO5
50YD717RC1DGCBRP,LUSTER1,10Y1001A1001A48H,NO5
50Y125-DQJCZ0AZ0,ÅRDAL2,10Y1001A1001A48H,NO5
50Y3EDLOQJ2G9YIM,BKKP1 NYGARD,10Y1001A1001A48H,NO5
50Y1HLYVFRBBS-85,BKKP5 MATRE,10Y1001A1001A48H,NO5
50YD8FIKDZF3SOEN,SN8,10Y1001A1001A48H,NO5
50Y7E5QLMKPCCC0W,SN9,10Y1001A1001A48H,NO5
50YMLZQTL4NB9WMP,HEV1 HALL,10Y1001A1001A48H,NO5
50YTBW9C971AFSEY,EQUINOR1,10Y1001A1001A48H,NO5
50YRT8QU3DO-PD0S,GLITRE D2,10Y1001A1001A48H,NO5
50Y-CC8CR1D9AVRE,JBV4,10Y1001A1001A48H,NO5
50YMGD-DNIYVCP7J,JBV5,10Y1001A1001A48H,NO5
50YZSOZBH-PXFAUA,NNAS ASKØY,10Y1001A1001A48H,NO5
50Y57T7CCAV0013S,SMKN1,10Y1001A1001A48H,NO5
50YCS7HCAV0013T5,SMKN4,10Y1001A1001A48H,NO5
50YPCDC0BBILOG11,VOSS1,10Y1001A1001A48H,NO5
50YH5GGNQTL4BB-N,EQUINOR6,10Y1001A1001A48H,NO5
50YOEWOFS0MLA5M8,SFEPN1,10Y1001A1001A48H,NO5
50YP-ZBEG9O0VH8J,SFE2,10Y1001A1001A48H,NO5
50YZEW0ACV3VJ4HS,SN01HALL1,10Y1001A1001A48H,NO5
50YGEZ4537XRXEQ1,SN01EIDSIVAD,10YNO-1--------2,NO1
50YLFMQSL4MB-WMC,SNMAGASINET,10YNO-1--------2,NO1
50YGFMDGGVA1-KG3,SN01GLITRED1,10YNO-1--------2,NO1
50YPCGLIAF00FNY6,SN01VOKKS1,10YNO-1--------2,NO1
50YDJ-4YGCCBF9FW,SNMETROS,10YNO-1--------2,NO1
50Y0B-1DGY7ZN8KB,SN01HAFSL1,10YNO-1--------2,NO1
50YCN9DJF7CZZDKC,SNLILLESTROMT,10YNO-1--------2,NO1
50YMCULDQZJJF3KS,NOTOD2,10YNO-1--------2,NO1
50YPHGLUFEAARZ7Z,SNGULSKOGENS,10YNO-1--------2,NO1
50YMBCCBF-39T116,SN01FON1,10YNO-1--------2,NO1
50YFSCRFI2VSN00K,SNSTRVKNGBRG,10YNO-1--------2,NO1
50YDGY7ZN8KJ5S4E,SN01NØSTERD1,10YNO-1--------2,NO1
50YQ9HSIFAQO5T0G,SN01RINGER1,10YNO-1--------2,NO1
50YXBC9UQRPUGAGA,SNMAXISS,10YNO-1--------2,NO1
50Y8JOVMBCCBF-3D,SN01FREDR1,10YNO-1--------2,NO1
50YAAGD7DCRCBIGO,TRØGST1,10YNO-1--------2,NO1
50YCOPYG1IWFK057,GLITRE D1,10YNO-1--------2,NO1
50YGGB1G-8E5D7BY,EIDSIVA-R,10YNO-1--------2,NO1
50YGD-PNHYVCO7CJ,VANG1,10YNO-1--------2,NO1
50YEXY4C8R2BT72T,BRG1,10YNO-1--------2,NO1
50YNTAMLZ02YANH4,SAUGB1,10YNO-1--------2,NO1
50YYCCAVRRQUHNTV,GLITRE R1,10YNO-1--------2,NO1
50YRAFCFIVBCEMIH,ROLLAG1,10YNO-1--------2,NO1
50YFETG-MIFRIAMA,HEV2 SOLB,10YNO-1--------2,NO1
50Y1CE65XL6JU3Q7,NNAS FREDR,10YNO-1--------2,NO1
50Y2VA2X6F00RRCT,HAFSL1,10YNO-1--------2,NO1
50YX5DEXY3H7Q1NC,SN16,10YNO-1--------2,NO1
50Y8EXMUC8RSBTYY,HØLSET1,10YNO-1--------2,NO1
50YDNEE3UFS0CZBP,SK41,10YNO-1--------2,NO1
50YWO-6UUIJ4BF1D,EIDSIVA-D,10YNO-1--------2,NO1
50YWCGS0AMA5M326,NØSTERD1,10YNO-1--------2,NO1
50YJ2G9YIK1HMY4Q,FLESB1,10YNO-1--------2,NO1
50YF2GCFETG-MIFT,SAURD1,10YNO-1--------2,NO1
50YTXA640FCP5KPV,GE1,10YNO-1--------2,NO1
50YP65NDMGD-DNIE,ØEIKER1,10YNO-1--------2,NO1
50YTBJJIMGAG-88J,SK57,10YNO-1--------2,NO1
50Y1DN1BD4PXYW-C,VOKKS1,10YNO-1--------2,NO1
50Y3E31ZC9MFHNJ3,RINGER1,10YNO-1--------2,NO1
50YGZGE5YD5-9B3R,SN17,10YNO-1--------2,NO1
50YQL0YFSA30AIVK,GLITRE D4,10YNO-1--------2,NO1
50Y-DNIYJ0PY0-73,KRØD1,10YNO-1--------2,NO1
50YLBGAJH0AW0Y5B,STANGE1,10YNO-1--------2,NO1
50Y6GCP57FHC1DN0,VALDRES1,10YNO-1--------2,NO1
50Y26E4PXYW0BHOE,RAKKE1,10YNO-1--------2,NO1
