Postnummer;Poststed;FylkeKode;Fylke;KommuneKode;Kommune;PostnummerKategoriKode;PostnummerKategori;Latitude;Longitude
1;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9116000;10.7545000
10;OSLO;3;OSLO;301;OSLO;B;Både gateadresser og postbokser;59.9171400;10.7273700
15;OSLO;3;OSLO;301;OSLO;B;Både gateadresser og postbokser;59.9093000;10.7387000
18;OSLO;3;OSLO;301;OSLO;G;Gateadresser og stedsadresser;59.9173000;10.5050000
21;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9096580;10.7253920
24;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9116000;10.7545000
25;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9131500;10.7541700
26;OSLO;3;OSLO;301;OSLO;G;Gateadresser og stedsadresser;59.9132100;10.7403400
28;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9143200;10.7492700
30;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9153700;10.7457800
31;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9153700;10.7457800
32;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9153700;10.7457800
33;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9153700;10.7457800
34;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9153700;10.7457800
37;OSLO;3;OSLO;301;OSLO;F;Flere bruksområder;59.9124600;10.7340800
40;OSLO;3;OSLO;301;OSLO;S;Servicepostnummer;59.9424900;10.7604100
45;OSLO;3;OSLO;301;OSLO;F;Flere bruksområder;59.9635700;10.9129000
46;OSLO;3;OSLO;301;OSLO;K;Kunde med eget postnummer;59.9635700;10.9129000
47;OSLO;3;OSLO;301;OSLO;K;Kunde med eget postnummer;59.9635700;10.9129000
48;OSLO;3;OSLO;301;OSLO;K;Kunde med eget postnummer;59.9109100;10.7506400
50;OSLO;3;OSLO;301;OSLO;G;Gateadresser og stedsadresser;59.9126700;10.7522400
51;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9116000;10.7545000
55;OSLO;3;OSLO;301;OSLO;F;Flere bruksområder;59.9124900;10.7467900
60;OSLO;3;OSLO;301;OSLO;S;Servicepostnummer;(blank);(blank)
80;OSLO;3;OSLO;301;OSLO;K;Kunde med eget postnummer;59.9057000;10.6281000
101;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9138000;10.7387000
102;OSLO;3;OSLO;301;OSLO;P;Postbokser;59.9138000;10.7387000
