mtr_pt_id,mtr_grid_area_id,mtr_pt_load_limit,mtr_pt_installed_capacity,mtr_pt_production_type,mtr_pt_nace_cd,valid_from,valid_to,postal_code
707057500070374460,50YCZB13IFD7GEYO,80.0,5,B16,XX,2019-10-06 22:00:00,2021-03-12 23:00:00,4032
707057500032782241,50Y2VA2X6F00RRCT,20.0,15,B16,XX,2019-03-22 23:00:00,9999-01-01 00:00:00,2010
707057500079479968,50Y5D--B24-C1JHP,20.0,5,B16,XX,2020-03-24 23:00:00,9999-01-01 00:00:00,4480
707057500040358810,50YREKQ2JIWNQI2B,0.0,5,B16,XX,2019-08-29 22:00:00,9999-01-01 00:00:00,3290
707057500020997541,50YWO-6UUIJ4BF1D,15.0,3,B16,XX,2019-10-06 22:00:00,2020-04-25 22:00:00,2613
707057500057008890,50Y2VA2X6F00RRCT,831.0,103,B16,84.110,2019-08-25 22:00:00,2022-03-23 23:00:00,1383
707057500018633819,50Y09NI57T7CCAVM,112.0,29,B16,52.100,2022-01-31 23:00:00,9999-01-01 00:00:00,5777
707057500040351330,50YREKQ2JIWNQI2B,4.0,22,B16,XX,2022-02-01 23:00:00,9999-01-01 00:00:00,3268
707057500080728680,50YEBDMK1DZ108B3,28.0,4,B16,XX,2019-05-07 22:00:00,2020-03-25 23:00:00,1400
707057500079665767,50Y5D--B24-C1JHP,12.0,4,B16,XX,2020-12-01 23:00:00,9999-01-01 00:00:00,4406
707057500048204638,50YYEW-9BU3UI3GF,22.0,22,B16,01.410,2019-10-15 22:00:00,9999-01-01 00:00:00,5550
707057500048039834,50YYEW-9BU3UI3GF,0.0,8,B16,XX,2022-09-21 22:00:00,9999-01-01 00:00:00,4264
707057500016070067,50Y2VA2X6F00RRCT,25.0,10,B16,XX,2020-02-28 23:00:00,9999-01-01 00:00:00,1624
707057500080270479,50Y6GCP57FHC1DN0,10.0,10,B16,XX,2022-05-05 22:00:00,2022-06-20 22:00:00,2920
707057500049536936,50Y2VA2X6F00RRCT,20.0,17,B16,XX,2022-10-11 22:00:00,9999-01-01 00:00:00,1357
707057500040580921,50YREKQ2JIWNQI2B,4.0,4,B16,XX,2020-06-09 22:00:00,2021-11-03 23:00:00,3060
707057500051432240,50Y2VA2X6F00RRCT,25.0,15,B16,XX,2019-03-19 23:00:00,2022-03-27 22:00:00,0755
707057500035781869,50YWCGS0AMA5M326,40.0,8,B16,XX,2018-11-22 23:00:00,2020-03-15 23:00:00,2500
707057500075345786,50YEBDMK1DZ108B3,23.0,11,B16,XX,2021-12-20 23:00:00,9999-01-01 00:00:00,1914
